time,room_id,room_name,temperature_c,co2_ppm,occupancy,energy_kw,status,lat,lng
"08:00","LAB-01","Laboratório IA",22.7,661,6,5,"normal",-23.55955,-46.73192
"08:00","LAB-02","Laboratório Robótica",22.5,947,16,7.3,"atencao",-23.5591,-46.73125
"08:00","SALA-12","Sala de Aula 12",22.9,1085,19,8.2,"atencao",-23.5588,-46.7323
"08:00","HVAC-A","Casa de Máquinas A",22.8,1150,23,9.4,"atencao",-23.55985,-46.73265
"08:00","AUD-01","Auditório",22.9,1225,24,10,"critico",-23.55835,-46.7317
"09:00","LAB-01","Laboratório IA",22.8,1000,19,6.7,"atencao",-23.55955,-46.73192
"09:00","LAB-02","Laboratório Robótica",23.1,1163,22,7.8,"atencao",-23.5591,-46.73125
"09:00","SALA-12","Sala de Aula 12",23.8,1206,25,8.6,"critico",-23.5588,-46.7323
"09:00","HVAC-A","Casa de Máquinas A",23.3,1229,27,9.5,"critico",-23.55985,-46.73265
"09:00","AUD-01","Auditório",23.6,1319,26,10.3,"critico",-23.55835,-46.7317
"10:00","LAB-01","Laboratório IA",23.3,1018,20,6.6,"atencao",-23.55955,-46.73192
"10:00","LAB-02","Laboratório Robótica",23.1,1101,21,7.3,"atencao",-23.5591,-46.73125
"10:00","SALA-12","Sala de Aula 12",22.8,1289,28,8.9,"critico",-23.5588,-46.7323
"10:00","HVAC-A","Casa de Máquinas A",24.6,1311,28,9.4,"critico",-23.55985,-46.73265
"10:00","AUD-01","Auditório",24,1317,29,10.5,"critico",-23.55835,-46.7317
"11:00","LAB-01","Laboratório IA",23.1,1074,19,6.4,"atencao",-23.55955,-46.73192
"11:00","LAB-02","Laboratório Robótica",23.4,1364,28,8.5,"critico",-23.5591,-46.73125
"11:00","SALA-12","Sala de Aula 12",23.9,1310,28,9.3,"critico",-23.5588,-46.7323
"11:00","HVAC-A","Casa de Máquinas A",24.1,1508,34,10.2,"critico",-23.55985,-46.73265
"11:00","AUD-01","Auditório",24.4,1423,33,10.9,"critico",-23.55835,-46.7317
"12:00","LAB-01","Laboratório IA",24,1138,24,7.6,"atencao",-23.55955,-46.73192
"12:00","LAB-02","Laboratório Robótica",23.7,1033,20,7.1,"atencao",-23.5591,-46.73125
"12:00","SALA-12","Sala de Aula 12",23.8,1441,32,9.2,"critico",-23.5588,-46.7323
"12:00","HVAC-A","Casa de Máquinas A",24.7,1310,30,10.4,"critico",-23.55985,-46.73265
"12:00","AUD-01","Auditório",25.6,1619,37,11.9,"critico",-23.55835,-46.7317
"13:00","LAB-01","Laboratório IA",23.4,1123,24,7,"atencao",-23.55955,-46.73192
"13:00","LAB-02","Laboratório Robótica",23.4,1103,20,7.2,"atencao",-23.5591,-46.73125
"13:00","SALA-12","Sala de Aula 12",24.5,1393,30,9,"critico",-23.5588,-46.7323
"13:00","HVAC-A","Casa de Máquinas A",24.5,1458,34,10.8,"critico",-23.55985,-46.73265
"13:00","AUD-01","Auditório",25.3,1290,30,11.1,"critico",-23.55835,-46.7317
"14:00","LAB-01","Laboratório IA",24.8,1069,22,7.4,"atencao",-23.55955,-46.73192
"14:00","LAB-02","Laboratório Robótica",25.2,1095,20,7.7,"atencao",-23.5591,-46.73125
"14:00","SALA-12","Sala de Aula 12",24.5,1153,24,8.7,"atencao",-23.5588,-46.7323
"14:00","HVAC-A","Casa de Máquinas A",25.7,1255,25,9.7,"critico",-23.55985,-46.73265
"14:00","AUD-01","Auditório",25,1362,32,11.3,"critico",-23.55835,-46.7317
"15:00","LAB-01","Laboratório IA",24.8,976,14,5.7,"atencao",-23.55955,-46.73192
"15:00","LAB-02","Laboratório Robótica",25.4,1271,24,8.4,"critico",-23.5591,-46.73125
"15:00","SALA-12","Sala de Aula 12",25.1,1215,26,9.1,"critico",-23.5588,-46.7323
"15:00","HVAC-A","Casa de Máquinas A",25.5,1325,30,9.9,"critico",-23.55985,-46.73265
"15:00","AUD-01","Auditório",26.1,1427,33,11.2,"critico",-23.55835,-46.7317
"16:00","LAB-01","Laboratório IA",24.5,1035,17,6.4,"atencao",-23.55955,-46.73192
"16:00","LAB-02","Laboratório Robótica",24.9,990,14,7.3,"atencao",-23.5591,-46.73125
"16:00","SALA-12","Sala de Aula 12",26.2,1204,22,8.1,"critico",-23.5588,-46.7323
"16:00","HVAC-A","Casa de Máquinas A",25.4,1225,25,9.5,"critico",-23.55985,-46.73265
"16:00","AUD-01","Auditório",27.1,1334,29,10.3,"critico",-23.55835,-46.7317
"17:00","LAB-01","Laboratório IA",24.6,830,10,5.7,"normal",-23.55955,-46.73192
"17:00","LAB-02","Laboratório Robótica",25.6,956,14,6.7,"atencao",-23.5591,-46.73125
"17:00","SALA-12","Sala de Aula 12",25.2,1027,19,8.1,"atencao",-23.5588,-46.7323
"17:00","HVAC-A","Casa de Máquinas A",26.7,969,17,8.3,"atencao",-23.55985,-46.73265
"17:00","AUD-01","Auditório",26.6,1133,24,10.3,"atencao",-23.55835,-46.7317
